"date","location","total_vaccinations","total_distributed","people_vaccinated","people_fully_vaccinated_per_hundred","total_vaccinations_per_hundred","people_fully_vaccinated","people_vaccinated_per_hundred","distributed_per_hundred","daily_vaccinations_raw","daily_vaccinations","daily_vaccinations_per_million","share_doses_used"
1/12/2021 0:00:00,"Alabama","78134.0","377025.0","70861.0","0.15","1.59","7270.0","1.45","7.69",,,,"0.207"
1/13/2021 0:00:00,"Alabama","84040.0","378975.0","74792.0","0.19","1.71","9245.0","1.53","7.73",5906.00,5906.00,1205.00,"0.222"
1/14/2021 0:00:00,"Alabama","92300.0","435350.0","80480.0",,"1.88",,"1.64","8.88",8260.00,7083.00,1445.00,"0.212"
1/15/2021 0:00:00,"Alabama","100567.0","444650.0","86956.0","0.28","2.05","13488.0","1.77","9.07",8267.00,7478.00,1525.00,"0.226"
1/16/2021 0:00:00,"Alabama",,,,,,,,,7557.00,7498.00,1529.00,
1/17/2021 0:00:00,"Alabama",,,,,,,,,7557.00,7509.00,1531.00,
1/18/2021 0:00:00,"Alabama",,,,,,,,,7557.00,7517.00,1533.00,
1/19/2021 0:00:00,"Alabama","130795.0","444650.0","114319.0","0.33","2.67","16346.0","2.33","9.07",7557.00,7523.00,1534.00,"0.294"
1/20/2021 0:00:00,"Alabama","139200.0","483275.0","121113.0","0.37","2.84","17956.0","2.47","9.86",8405.00,7880.00,1607.00,"0.288"
1/21/2021 0:00:00,"Alabama","165919.0","493125.0","144429.0","0.44","3.38","21345.0","2.95","10.06",26719.00,10517.00,2145.00,"0.336"
1/22/2021 0:00:00,"Alabama","199314.0","519525.0","174317.0","0.51","4.06","24840.0","3.56","10.6",33395.00,14107.00,2877.00,"0.384"
1/23/2021 0:00:00,"Alabama","221540.0","521225.0","193955.0","0.56","4.52","27422.0","3.96","10.63",22226.00,16202.00,3304.00,"0.425"
1/24/2021 0:00:00,"Alabama","243737.0","521225.0","213833.0","0.61","4.97","29736.0","4.36","10.63",22197.00,18294.00,3731.00,"0.468"
1/25/2021 0:00:00,"Alabama","250612.0","521225.0","220464.0","0.61","5.11","29978.0","4.5","10.63",6875.00,18196.00,3711.00,"0.481"
1/26/2021 0:00:00,"Alabama","254959.0","569000.0","223854.0","0.63","5.2","30933.0","4.57","11.6",4347.00,17738.00,3618.00,"0.448"
1/27/2021 0:00:00,"Alabama","266444.0","634000.0","232633.0","0.69","5.43","33595.0","4.74","12.93",11485.00,18178.00,3707.00,"0.42"
1/28/2021 0:00:00,"Alabama","278993.0","655275.0","241337.0","0.76","5.69","37431.0","4.92","13.36",12549.00,16153.00,3294.00,"0.426"
1/29/2021 0:00:00,"Alabama","300915.0","659400.0","256601.0","0.9","6.14","44073.0","5.23","13.45",21922.00,14514.00,2960.00,"0.456"
1/30/2021 0:00:00,"Alabama","342436.0","659400.0","288368.0","1.1","6.98","53742.0","5.88","13.45",41521.00,17271.00,3522.00,"0.519"
1/31/2021 0:00:00,"Alabama","353974.0","659400.0","298301.0","1.13","7.22","55331.0","6.08","13.45",11538.00,15748.00,3212.00,"0.537"
2/1/2021 0:00:00,"Alabama","358280.0","659400.0","301628.0","1.15","7.31","56308.0","6.15","13.45",4306.00,15381.00,3137.00,"0.543"
2/2/2021 0:00:00,"Alabama","371882.0","680550.0","312711.0","1.2","7.58","58825.0","6.38","13.88",13602.00,16703.00,3407.00,"0.546"
2/3/2021 0:00:00,"Alabama","388339.0","765150.0","324998.0","1.28","7.92","62990.0","6.63","15.61",16457.00,17414.00,3552.00,"0.508"
2/4/2021 0:00:00,"Alabama","408428.0","799675.0","338845.0","1.41","8.33","69155.0","6.91","16.31",20089.00,18491.00,3771.00,"0.511"
2/5/2021 0:00:00,"Alabama","430597.0","799875.0","353522.0","1.56","8.78","76603.0","7.21","16.31",22169.00,18526.00,3778.00,"0.538"
2/6/2021 0:00:00,"Alabama","455173.0","804100.0","370275.0","1.72","9.28","84278.0","7.55","16.4",24576.00,16105.00,3285.00,"0.566"
2/7/2021 0:00:00,"Alabama","462332.0","804100.0","375567.0","1.76","9.43","86141.0","7.66","16.4",7159.00,15480.00,3157.00,"0.575"
2/8/2021 0:00:00,"Alabama","467636.0","804100.0","378514.0","1.8","9.54","88453.0","7.72","16.4",5304.00,15622.00,3186.00,"0.582"
2/9/2021 0:00:00,"Alabama","490969.0","823600.0","395196.0","1.94","10.01","95033.0","8.06","16.8",23333.00,17012.00,3470.00,"0.596"
2/10/2021 0:00:00,"Alabama","515802.0","861175.0","412462.0","2.09","10.52","102520.0","8.41","17.56",24833.00,18209.00,3714.00,"0.599"
2/11/2021 0:00:00,"Alabama","543237.0","911875.0","431259.0","2.26","11.08","111036.0","8.8","18.6",27435.00,19258.00,3928.00,"0.596"
2/12/2021 0:00:00,"Alabama","571115.0","936200.0","448071.0","2.49","11.65","122019.0","9.14","19.09",27878.00,20074.00,4094.00,"0.61"
2/13/2021 0:00:00,"Alabama","601159.0","963600.0","467032.0","2.71","12.26","133029.0","9.53","19.65",30044.00,20855.00,4253.00,"0.624"
2/14/2021 0:00:00,"Alabama","612254.0","965550.0","474065.0","2.79","12.49","137032.0","9.67","19.69",11095.00,21417.00,4368.00,"0.634"
2/15/2021 0:00:00,"Alabama",,,,,,,,,12214.00,22405.00,4569.00,
2/16/2021 0:00:00,"Alabama","636682.0","1015775.0","486206.0","3.04","12.99","149288.0","9.92","20.72",12214.00,20816.00,4245.00,"0.627"
2/17/2021 0:00:00,"Alabama","650020.0","1032175.0","494424.0","3.15","13.26","154341.0","10.08","21.05",13338.00,19174.00,3911.00,"0.63"
2/18/2021 0:00:00,"Alabama","672038.0","1032175.0","505660.0","3.37","13.71","165104.0","10.31","21.05",22018.00,18400.00,3753.00,"0.651"
2/19/2021 0:00:00,"Alabama","739132.0","1077600.0","545431.0","3.92","15.07","192304.0","11.12","21.98",67094.00,24002.00,4895.00,"0.686"
2/20/2021 0:00:00,"Alabama","776936.0","1078800.0","560968.0","4.37","15.85","214512.0","11.44","22.0",37804.00,25111.00,5121.00,"0.72"
2/21/2021 0:00:00,"Alabama","788613.0","1082100.0","567505.0","4.48","16.08","219639.0","11.57","22.07",11677.00,25194.00,5138.00,"0.729"
2/22/2021 0:00:00,"Alabama","793614.0","1082100.0","583741.0","4.65","16.19","228101.0","11.91","22.07",5001.00,24164.00,4928.00,"0.733"
2/23/2021 0:00:00,"Alabama","815108.0","1084440.0","593936.0","4.88","16.62","239425.0","12.11","22.12",21494.00,25489.00,5198.00,"0.752"
2/24/2021 0:00:00,"Alabama","839703.0","1138650.0","604602.0","5.17","17.13","253615.0","12.33","23.22",24595.00,27098.00,5527.00,"0.737"
2/25/2021 0:00:00,"Alabama","864757.0","1170120.0","615100.0","5.48","17.64","268465.0","12.54","23.86",25054.00,27531.00,5615.00,"0.739"
2/26/2021 0:00:00,"Alabama","893859.0","1380380.0","627063.0","5.83","18.23","286095.0","12.79","28.15",29102.00,22104.00,4508.00,"0.648"
2/27/2021 0:00:00,"Alabama","931090.0","1402180.0","643208.0","6.28","18.99","307868.0","13.12","28.6",37231.00,22022.00,4491.00,"0.664"
2/28/2021 0:00:00,"Alabama","942502.0","1402280.0","649745.0","6.39","19.22","313290.0","13.25","28.6",11412.00,21984.00,4484.00,"0.672"
3/1/2021 0:00:00,"Alabama","948393.0","1402280.0","653309.0","6.45","19.34","316073.0","13.32","28.6",5891.00,22111.00,4510.00,"0.676"
3/2/2021 0:00:00,"Alabama","972161.0","1461320.0","663187.0","6.73","19.83","330046.0","13.53","29.8",23768.00,22436.00,4576.00,"0.665"
3/3/2021 0:00:00,"Alabama","1000031.0","1469100.0","674810.0","7.07","20.4","346841.0","13.76","29.96",27870.00,22904.00,4671.00,"0.681"
3/4/2021 0:00:00,"Alabama","1032171.0","1530470.0","688791.0","7.45","21.05","365456.0","14.05","31.21",32140.00,23916.00,4878.00,"0.674"
3/5/2021 0:00:00,"Alabama","1064578.0","1556460.0","704173.0","7.81","21.71","383078.0","14.36","31.74",32407.00,24388.00,4974.00,"0.684"
3/6/2021 0:00:00,"Alabama","1099697.0","1628350.0","721109.0","8.2","22.43","402061.0","14.71","33.21",35119.00,24087.00,4913.00,"0.675"
3/7/2021 0:00:00,"Alabama","1110132.0","1628350.0","727681.0","8.3","22.64","406723.0","14.84","33.21",10435.00,23947.00,4884.00,"0.682"
3/8/2021 0:00:00,"Alabama","1116676.0","1628350.0","732967.0","8.36","22.77","409937.0","14.95","33.21",6544.00,24040.00,4903.00,"0.686"
3/9/2021 0:00:00,"Alabama","1140984.0","1689050.0","747268.0","8.57","23.27","420083.0","15.24","34.45",24308.00,24118.00,4919.00,"0.676"
3/10/2021 0:00:00,"Alabama","1173820.0","1775660.0","768502.0","8.87","23.94","435018.0","15.67","36.21",32836.00,24827.00,5063.00,"0.661"
3/11/2021 0:00:00,"Alabama","1209802.0","1816230.0","790864.0","9.23","24.67","452746.0","16.13","37.04",35982.00,25376.00,5175.00,"0.666"
3/12/2021 0:00:00,"Alabama","1249205.0","1838400.0","816418.0","9.63","25.48","472325.0","16.65","37.49",39403.00,26375.00,5379.00,"0.68"
3/13/2021 0:00:00,"Alabama","1288242.0","1918560.0","841394.0","10.05","26.27","492755.0","17.16","39.13",39037.00,26935.00,5493.00,"0.671"
3/14/2021 0:00:00,"Alabama","1298612.0","1918560.0","849337.0","10.15","26.49","497653.0","17.32","39.13",10370.00,26926.00,5492.00,"0.677"
3/15/2021 0:00:00,"Alabama","1306419.0","1918560.0","854302.0","10.22","26.64","501344.0","17.42","39.13",7807.00,27106.00,5528.00,"0.681"
3/16/2021 0:00:00,"Alabama","1332298.0","2004160.0","871536.0","10.44","27.17","511869.0","17.77","40.87",25879.00,27331.00,5574.00,"0.665"
3/17/2021 0:00:00,"Alabama","1363987.0","2080870.0","893767.0","10.68","27.82","523649.0","18.23","42.44",31689.00,27167.00,5541.00,"0.655"
3/18/2021 0:00:00,"Alabama","1390066.0","2118650.0","912663.0","10.88","28.35","533375.0","18.61","43.21",26079.00,25752.00,5252.00,"0.656"
3/19/2021 0:00:00,"Alabama","1426696.0","2141210.0","937614.0","11.16","29.1","547257.0","19.12","43.67",36630.00,25356.00,5171.00,"0.666"
3/20/2021 0:00:00,"Alabama","1460782.0","2177880.0","960539.0","11.45","29.79","561254.0","19.59","44.42",34086.00,24649.00,5027.00,"0.671"
