DATE,New Deaths
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,1
59,2
60,1
61,0
62,2
63,0
64,4
65,2
66,8
67,4
68,5
69,5
70,11
71,11
72,8
73,15
74,18
75,26
76,12
77,23
78,18
79,18
80,33
81,21
82,16
83,23
84,32
85,45
86,30
87,33
88,33
89,26
90,16
91,20
92,29
93,19
94,30
95,24
96,37
97,14
98,23
99,39
100,38
101,52
102,25
103,22
104,15
105,24
106,41
107,30
108,31
109,43
110,27
111,24
112,27
113,32
114,36
115,51
116,44
117,30
118,26
119,6
120,43
121,38
122,37
123,18
124,24
125,11
126,3
127,16
128,46
129,20
130,27
131,31
132,7
133,12
134,37
135,34
136,27
137,28
138,19
139,6
140,10
141,30
142,30
143,26
144,23
145,24
146,6
147,23
148,39
149,42
150,38
151,31
152,18
153,9
154,18
155,33
156,46
157,29
158,41
159,36
160,10
161,22
162,52
163,36
164,44
165,47
166,37
167,20
168,60
169,90
170,119
171,102
172,92
173,77
174,40
175,67
176,136
177,141
178,154
179,145
180,83
181,61
182,127
183,159
184,203
185,192
186,162
187,126
188,88
189,1202
190,226
191,316
192,153
193,286
194,204
195,43
196,177
197,254
198,201
199,248
200,280
201,205
202,99
203,80
204,247
205,334
206,234
207,316
208,184
209,119
210,61
211,239
212,245
213,205
214,235
215,167
216,110
217,64
218,188
219,200
220,232
221,171
222,118
223,74
224,50
225,147
226,181
227,202
228,129
229,144
230,79
231,42
232,74
233,131
234,12
235,281
236,105
237,74
238,50
239,153
240,142
241,106
242,128
243,87
244,35
245,53
246,110
247,133
248,132
249,50
250,155
251,39
252,67
253,96
254,108
255,118
256,87
257,133
258,31
259,48
260,103
261,125
262,106
263,102
264,64
265,28
266,26
267,92
268,111
269,86
270,92
271,64
272,23
273,23
274,80
275,99
276,17
277,114
278,124
279,44
280,35
281,78
282,96
283,121
284,105
285,72
286,33
287,44
288,96
289,148
290,130
291,125
292,94
293,37
294,42
295,125
296,121
297,161
298,212
299,118
300,75
301,47
302,121
303,193
304,218
305,183
306,132
307,79
308,61
309,194
310,198
311,173
312,53
313,85
314,53
315,68
316,236
317,218
318,223
319,245
320,221
321,76
322,71
323,181
324,288
325,240
326,241
327,192
328,101
329,81
330,214
331,282
332,258
333,272
334,233
335,107
336,216
337,199
338,261
339,255
340,163
341,20
342,48
343,135
344,254
345,322
346,334
347,279
348,74
349,46
350,127
351,268
352,329
353,367
354,464
355,332
356,158
357,121
358,297
359,379
360,423
361,393
362,369
363,166
364,111
365,318
366,456
367,443
368,421
369,363
370,191
371,186
372,308
373,480
374,410
375,370
376,292
377,146
378,163
379,355
380,443
381,407
382,429
383,291
384,160
385,165
386,318
387,324
388,364
389,402
390,257
391,120
392,44
393,62
394,104
395,114
396,236
397,202
398,119
399,163
400,244
401,325
402,297
403,283
404,139
405,177
406,129
407,275
408,274
409,293
410,275
411,186
412,65
413,124
414,184
415,202
416,212
417,223
418,141
419,56
420,106
421,133
422,173
423,199
424,166
425,97
426,45
427,109
428,85
429,163
430,129
431,133
432,86
433,51
434,46
435,111
436,120
437,114
438,101
439,76
440,20
441,30
442,87
443,108
444,98
445,106
446,65
447,24
448,24
449,63
450,68
451,83
452,69
453,50
454,33
455,21
456,49
457,87
458,68
459,64
460,42
461,13
462,33
463,60
464,78
465,65
466,67
467,52
468,15
469,14
470,80
471,59
472,64
473,58
474,38
475,17
476,25
477,55
478,70
479,50
480,65
481,37
482,0
483,34
484,41
485,58
486,45
487,43
488,40
489,15
490,29
491,43
492,63
493,56
494,53
495,35
496,12
497,1
498,16
499,52
500,57
501,47
502,29
503,17
504,17
505,41
506,37
507,33
508,45
509,32
510,9
511,11
512,31
513,38
514,34
515,47
516,15
517,11
518,8
519,28
520,35
521,33
522,30
523,23
524,9
525,6
526,30
527,24
528,36
529,43
530,24
531,13
532,0
533,22
534,25
535,34
536,36
537,17
538,4
539,24
540,28
541,31
542,37
543,27
544,28
545,9
546,10
547,26
548,43
549,35
550,48
551,23
552,15
553,15
554,39
555,65
556,34
557,58
558,35
559,18
560,30
561,64
562,65
563,77
564,74
565,58
566,28
567,37
568,100
569,108
